#### EXPORT DONNEES METEO POUR "BORDEAUX" (LAT/LON: 44.837789/-0.57918)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2024-01-01,9,6,10,7,8,8,0.4,95,7,1020,75,9,8,5,176,143,116,0,2,1,météo défavorable,17:32:00,08:40:00,6
2024-01-02,11,6,20,7,9,10,0.4,79,9,1017,71.625,11,7,4,176,116,266,0,2,7,météo défavorable,17:33:00,08:40:00,8
2024-01-03,13,9,23,10,12,11,0.1,97,7.5,1017,83,13,11,8,248,176,116,0,3,6,météo défavorable,17:34:00,08:40:00,12
2024-01-04,12,7,15,7,11,9,0.1,98,5.25,1017,58.75,12,9,6,248,113,116,0,2,7,météo défavorable,17:35:00,08:40:00,8
2024-01-05,10,6,12,8,9,8,1.6,96,7.875,1008,79.125,10,7,6,353,176,176,0,3,1,météo défavorable,17:36:00,08:40:00,8
2024-01-06,8,3,20,3,7,7,0.1,96,6,1018,60.875,8,4,1,143,122,176,0,2,3,météo très défavorable,17:37:00,08:40:00,4
2024-01-07,6,3,22,4,6,4,0,80,10,1022,74.75,6,3,-1,176,113,176,0,1,5,météo très défavorable,17:38:00,08:39:00,4
2024-01-08,4,-2,14,1,2,0,0,87,10,1024,59.625,4,0,-2,119,122,113,0,1,4,météo très défavorable,17:39:00,08:39:00,3
2024-01-09,4,-3,6,-3,1,1,0,82,10,1024,23.25,4,0,-5,113,113,116,0,2,9,météo très défavorable,17:40:00,08:39:00,-2
2024-01-10,3,0,6,0,2,2,0,88,8.75,1023,96.625,3,1,-1,311,176,248,0.1,1,2,météo très défavorable,17:41:00,08:39:00,0
2024-01-11,4,2,5,2,3,3,0.4,99,0.25,1028,100,4,3,1,248,248,248,0,1,1,météo très défavorable,17:42:00,08:38:00,2
2024-01-12,5,1,6,2,4,4,0,96,6.5,1030,67.125,5,2,2,143,119,116,0,1,5,météo très défavorable,17:43:00,08:38:00,2
2024-01-13,8,0,6,1,5,4,0,91,10,1026,25.625,8,2,-1,122,113,113,0,2,9,météo très défavorable,17:44:00,08:38:00,1
2024-01-14,10,3,6,4,8,7,0,75,10,1020,61.25,10,3,3,116,116,119,0,3,9,météo très défavorable,17:46:00,08:37:00,4
2024-01-15,8,5,8,6,8,7,1,95,8.875,1014,89.375,8,6,6,296,176,176,0,3,2,météo très défavorable,17:47:00,08:37:00,7
2024-01-16,10,4,7,5,7,9,0.6,85,8,1014,85,10,9,5,122,116,266,0,2,4,météo très défavorable,17:48:00,08:36:00,4
2024-01-17,13,11,23,11,11,13,2.6,93,8.875,1001,86.375,13,10,9,116,266,353,0,3,1,météo défavorable,17:49:00,08:35:00,11
2024-01-18,13,3,34,11,7,5,0.6,90,8.375,1013,90.75,13,10,2,266,176,122,0,2,1,météo défavorable,17:51:00,08:35:00,13
2024-01-19,5,0,20,-0,3,3,0,89,10,1023,23.625,5,0,-4,113,113,116,0,2,4,météo très défavorable,17:52:00,08:34:00,1
2024-01-20,6,-2,7,-2,4,2,0,79,10,1028,6.125,6,0,-4,113,113,113,0,2,9,météo très défavorable,17:53:00,08:33:00,-1
2024-01-21,6,0,12,1,5,4,0,80,10,1033,65.5,6,2,-3,116,122,116,0,2,2,météo très défavorable,17:55:00,08:33:00,1
2024-01-22,10,3,15,3,7,10,0.4,84,7,1036,57.25,10,9,1,116,266,143,0,3,1,météo très défavorable,17:56:00,08:32:00,3
2024-01-23,13,6,8,6,10,11,0,98,4,1036,89,13,10,5,248,116,122,0,2,2,météo défavorable,17:57:00,08:31:00,6
2024-01-24,13,11,7,11,13,12,0.2,92,9,1038,80.75,13,12,11,122,176,116,0,3,2,météo défavorable,17:59:00,08:30:00,12
2024-01-25,16,9,8,9,14,12,0,96,6,1036,23.625,16,11,8,143,113,113,0,3,9,météo correcte,18:00:00,08:29:00,10
2024-01-26,13,7,11,9,13,10,0,96,4,1037,45.25,13,11,8,143,119,143,0,3,6,météo correcte,18:01:00,08:28:00,9
2024-01-27,16,8,7,9,14,12,0,95,7,1034,27.625,16,10,8,143,113,113,0,3,10,météo correcte,18:03:00,08:27:00,10
2024-01-28,15,8,19,8,13,12,0,74,10,1027,58.25,15,9,6,116,122,122,0,4,3,météo correcte,18:04:00,08:26:00,9
2024-01-29,15,8,22,8,13,13,0,92,10,1029,38.75,15,10,6,113,113,122,0,4,8,météo correcte,18:05:00,08:25:00,9
2024-01-30,15,8,15,8,13,12,0,92,10,1033,53.5,15,9,7,122,113,113,0,3,8,météo correcte,18:07:00,08:24:00,9
2024-01-31,16,8,5,8,13,12,0,91,10,1035,14.625,16,9,7,113,116,116,0,4,10,météo correcte,18:08:00,08:23:00,9
